Date,ProductGrp,Cntry,Site,Type,Rank,Brand,Model,Name,Price,Curr
2018-12-31,Mobile,CZ,Heureka,TOP,19,Apple,iPhone XS,Apple iPhone XS 64GB,25677.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,1,Apple,iPhone 7,Apple iPhone 7 32GB,10760.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,5,Apple,iPhone 8,Apple iPhone 8 64GB,15066.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,2,Honor,7C,"Honor 7C, Black",3490.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,3,Honor,7C,"Honor 7C, Blue",3490.0,CZK
2018-12-31,Mobile,CZ,Mall,Tile,4,Honor,10 64GB Phantom,"Honor 10, 64GB, Phantom Blue",8990.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,1,Honor,9 Lite Midnight,Honor 9 Lite Midnight Black,4499.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,7,Honor,7A 32GB,Honor 7A 32GB ern,2999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,16,Honor,7A 32GB,Honor 7A 32GB Modr,2999.0,CZK
2018-12-31,Mobile,CZ,Alza,Tile,21,Honor,8X 64GB,Honor 8X 64GB modr,6999.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,3,Honor,7A 32 GB,Honor 7A 32 GB Dual SIM modr (51092RBM),2990.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,6,Honor,8X 64 GB,Honor 8X 64 GB Dual SIM modr (51092XYE),6990.0,CZK
2018-12-31,Mobile,CZ,Datart,TOP,8,Honor,7A 32 GB,Honor 7A 32 GB Dual SIM ern (51092RBL),2990.0,CZK
2018-12-31,Mobile,CZ,Datart,Tile,20,Honor,7C Dual SIM,Honor 7C Dual SIM ern (51092JDD),3299.0,CZK
2018-12-31,Mobile,CZ,Heureka,TOP,22,Honor,10 4GB/64GB Dual,Honor 10 4GB/64GB Dual SIM,7980.0,CZK
